"Title","Developer(s)","Release date","","","Options","Ref."
"Lego Indiana Jones: The Original Adventures","Traveller's Tales","Unreleased","June 6, 2008","June 3, 2008","","[73]"
"Lego Indiana Jones 2: The Adventure Continues","Traveller's Tales","Unreleased","November 20, 2009","November 17, 2009","","[74]"
"Lego Jurassic World","TT Fusion","November 5, 2015","June 30, 2015","June 30, 2015","","[75]"
"The Lego Movie Videogame","TT Fusion","Unreleased","February 14, 2014","February 14, 2014","","[76]"
"Lego Lord Of The Rings","Traveller's Tales","Unreleased","November 23, 2012","November 23, 2012","","[77]"
"Lego Marvel's Avengers","Traveller's Tales","Unreleased","January 27, 2016","January 26, 2016","","[78]"
"Lego Marvel Super Heroes","Traveller's Tales","January 22, 2015","November 23, 2013","November 23, 2013","","[79]"
"Lego Pirates of the Caribbean: The Video Game","Traveller's Tales","Unreleased","May 13, 2011","May 10, 2011","","[80]"
"Lego Rock Band","TT Fusion / Harmonix","Unreleased","November 27, 2009","November 3, 2009","","[81]"
"Lego Star Wars: The Complete Saga","Traveller's Tales","March 27, 2008","November 9, 2007","November 6, 2007","","[82]"
"Lego Star Wars: The Force Awakens","TT Fusion","October 13, 2016","June 28, 2016","June 28, 2016","","[citation needed]"
"Lego Star Wars III: The Clone Wars","Traveller's Tales","February 28, 2011","March 25, 2011","March 22, 2011","","[83]"
"Lego The Hobbit","Traveller's Tales","Unreleased","April 11, 2014","April 11, 2014","","[citation needed]"
"Lemmings","Team17","Unreleased","March 23, 2007","December 7, 2006","M","[84]"
"Let's Dance With Mel B","Unknown","Unreleased","April 24, 2012","Unreleased","","[85]"
"Le Tour de France","Cyanide Studio","Unreleased","June 23, 2011","June 23, 2011","","[86]"
"Le Tour de France 2012","Cyanide Studio","Unreleased","June 22, 2012","June 22, 2012","","[citation needed]"
"Le Tour de France 2013","Cyanide Studio","Unreleased","June 20, 2013","June 20, 2013","","[citation needed]"
"Le Tour de France 2014","Cyanide Studio","Unreleased","June 20, 2014","June 20, 2014","","[citation needed]"
"Leisure Suit Larry: Box Office Bust","Team17","Unreleased","April 24, 2009","May 5, 2009","","[87]"
"Level 22","Moving Player","Unreleased","February 11, 2016","February 11, 2016","",""
"Life Is Strange","Dontnod Entertainment","March 3, 2016","January 30, 2015","January 30, 2015","",""
"Lightning Returns: Final Fantasy XIII","Square Enix","November 21, 2013","February 14, 2014","February 11, 2014","","[88]"
"Lights, Camera, Party!","Frima Studio","Unreleased","August 29, 2012","August 28, 2012","",""
"Little League Baseball World Series 2010","Now Production","Unreleased","Unreleased","July 20, 2010","M","[citation needed]"
"Limbo","Playdead","August 4, 2011","July 20, 2011","July 19, 2011","",""
"Linger in Shadows","Plastic","December 4, 2008","October 9, 2008","October 9, 2008","","[89]"
"LittleBigPlanet","Media Molecule","October 30, 2008","November 5, 2008","October 27, 2008","E","[90]"
"LittleBigPlanet 2","Media Molecule","February 10, 2011","January 19, 2011","January 18, 2011","M  E","[91]"
"LittleBigPlanet 2: Special Edition","Media Molecule","Unreleased","November 15, 2011","November 15, 2011","M  E","[92]"
"LittleBigPlanet 3","Sumo Digital","December 4, 2014","November 26, 2014","November 18, 2014","","[citation needed]"
"LittleBigPlanet Karting","United Front Games","January 17, 2013","November 7, 2012","November 6, 2012","","[citation needed]"
"Little Busters! Converted Edition","Key / Prototype","March 20, 2013","Unreleased","Unreleased","","[citation needed]"
