platform;slug;name;released;background_image;genre
Nintendo Switch;winning-post-9-2021;Winning Post 9 (2021);15/04/2021;https://media.rawg.io/media/games/315/315d947b6d4dc57bffe82da428a5e370.jpg;Racing, Simulation, Sports
PC;winter-ember;Winter Ember;19/04/2022;https://media.rawg.io/media/screenshots/4dc/4dc6b052b1fd5ef4ae330fb658c01c4f.jpg;Strategy, Adventure, Action
PlayStation 5;winter-ember;Winter Ember;19/04/2022;https://media.rawg.io/media/screenshots/4dc/4dc6b052b1fd5ef4ae330fb658c01c4f.jpg;Strategy, Adventure, Action
Xbox One;winter-ember;Winter Ember;19/04/2022;https://media.rawg.io/media/screenshots/4dc/4dc6b052b1fd5ef4ae330fb658c01c4f.jpg;Strategy, Adventure, Action
PlayStation 4;winter-ember;Winter Ember;19/04/2022;https://media.rawg.io/media/screenshots/4dc/4dc6b052b1fd5ef4ae330fb658c01c4f.jpg;Strategy, Adventure, Action
Xbox Series S/X;winter-ember;Winter Ember;19/04/2022;https://media.rawg.io/media/screenshots/4dc/4dc6b052b1fd5ef4ae330fb658c01c4f.jpg;Strategy, Adventure, Action
PlayStation 4;wipeout-omega-collection;WipEout Omega Collection;07/06/2017;https://media.rawg.io/media/screenshots/05d/05d24f374d23180372d60801ae45a93b.jpg;Racing
PC;within-the-blade;Within the Blade;10/05/2017;https://media.rawg.io/media/screenshots/964/964e9400c582a710148442e403e46307.jpg;Platformer, Indie, Action
PlayStation 5;within-the-blade;Within the Blade;10/05/2017;https://media.rawg.io/media/screenshots/964/964e9400c582a710148442e403e46307.jpg;Platformer, Indie, Action
Xbox One;within-the-blade;Within the Blade;10/05/2017;https://media.rawg.io/media/screenshots/964/964e9400c582a710148442e403e46307.jpg;Platformer, Indie, Action
PlayStation 4;within-the-blade;Within the Blade;10/05/2017;https://media.rawg.io/media/screenshots/964/964e9400c582a710148442e403e46307.jpg;Platformer, Indie, Action
