platform;slug;name;released;background_image;genre
PlayStation 4;the-escapists-2;The Escapists 2;2017-08-21;https://media.rawg.io/media/screenshots/8f6/8f69fbc424a579cbdb4b3199ab6c262a.jpg;Strategy, Indie, Simulation
Nintendo Switch;the-escapists-2;The Escapists 2;2017-08-21;https://media.rawg.io/media/screenshots/8f6/8f69fbc424a579cbdb4b3199ab6c262a.jpg;Strategy, Indie, Simulation
macOS;the-escapists-2;The Escapists 2;2017-08-21;https://media.rawg.io/media/screenshots/8f6/8f69fbc424a579cbdb4b3199ab6c262a.jpg;Strategy, Indie, Simulation
Linux;the-escapists-2;The Escapists 2;2017-08-21;https://media.rawg.io/media/screenshots/8f6/8f69fbc424a579cbdb4b3199ab6c262a.jpg;Strategy, Indie, Simulation
PC;call-of-duty-black-ops-cold-war;Call of Duty: Black Ops Cold War;2020-11-13;https://media.rawg.io/media/games/6b1/6b14dc4cc1785e396580c69165e55d2d.jpg;Shooter, Action
PlayStation 5;call-of-duty-black-ops-cold-war;Call of Duty: Black Ops Cold War;2020-11-13;https://media.rawg.io/media/games/6b1/6b14dc4cc1785e396580c69165e55d2d.jpg;Shooter, Action
Xbox One;call-of-duty-black-ops-cold-war;Call of Duty: Black Ops Cold War;2020-11-13;https://media.rawg.io/media/games/6b1/6b14dc4cc1785e396580c69165e55d2d.jpg;Shooter, Action
PlayStation 4;call-of-duty-black-ops-cold-war;Call of Duty: Black Ops Cold War;2020-11-13;https://media.rawg.io/media/games/6b1/6b14dc4cc1785e396580c69165e55d2d.jpg;Shooter, Action
Xbox Series S/X;call-of-duty-black-ops-cold-war;Call of Duty: Black Ops Cold War;2020-11-13;https://media.rawg.io/media/games/6b1/6b14dc4cc1785e396580c69165e55d2d.jpg;Shooter, Action
PC;baldurs-gate-ii-ee;Baldur's Gate II: Enhanced Edition;2013-11-15;https://media.rawg.io/media/screenshots/e0a/e0abaefbcc99ef995be57d857806f2d2.jpeg;Strategy, RPG
Xbox One;baldurs-gate-ii-ee;Baldur's Gate II: Enhanced Edition;2013-11-15;https://media.rawg.io/media/screenshots/e0a/e0abaefbcc99ef995be57d857806f2d2.jpeg;Strategy, RPG
PlayStation 4;baldurs-gate-ii-ee;Baldur's Gate II: Enhanced Edition;2013-11-15;https://media.rawg.io/media/screenshots/e0a/e0abaefbcc99ef995be57d857806f2d2.jpeg;Strategy, RPG
Nintendo Switch;baldurs-gate-ii-ee;Baldur's Gate II: Enhanced Edition;2013-11-15;https://media.rawg.io/media/screenshots/e0a/e0abaefbcc99ef995be57d857806f2d2.jpeg;Strategy, RPG
